latitude,longitude,room_type,price
40.69453866,-73.94868177,Shared room,$32.00 
40.67942204,-73.939199,Shared room,$99.00 
40.70118899,-73.93312517,Shared room,$25.00 
40.6831274,-73.96380995,Shared room,$45.00 
40.64512518,-73.9487978,Shared room,$28.00 
40.80006736,-73.94500214,Shared room,$70.00 
40.78547071,-73.94511218,Shared room,$50.00 
40.72422558,-73.98326766,Shared room,$100.00 
40.72375567,-73.98302955,Shared room,$30.00 
40.72608065,-73.98798149,Shared room,$79.00 
40.73831177,-73.79863941,Shared room,$60.00 
40.82684277,-73.9439597,Shared room,$69.00 
40.81276222,-73.94119702,Shared room,$125.00 
40.86117419,-73.92403557,Shared room,$48.00 
40.71754086,-73.98679703,Shared room,$50.00 
40.75991695,-73.96836684,Shared room,$74.00 
40.7590301,-73.96516453,Shared room,$65.00 
40.61354685,-73.96021451,Shared room,$32.00 
40.58693575,-73.816035,Shared room,$35.00 
40.72364019,-73.99923063,Shared room,$100.00 
40.77641956,-73.95594343,Shared room,$90.00 
40.77315783,-73.95413142,Shared room,$60.00 
40.77853807,-73.95073409,Shared room,$45.00 
40.79844943,-73.96932299,Shared room,$50.00 
40.77375876,-73.98223078,Shared room,$150.00 
40.85322243,-73.93563128,Shared room,$89.00 
40.68612656,-73.85747803,Shared room,$60.00 
40.7092701,-73.92637442,Shared room,$99.00 
40.69509849,-73.9560471,Shared room,$45.00 
40.81363341,-73.91579521,Shared room,$50.00 
40.67495015,-73.90824003,Shared room,$28.00 
40.69510267,-73.92983413,Shared room,$40.00 
40.68478258,-74.00300596,Shared room,$315.00 
40.74025351,-73.8580761,Shared room,$45.00 
40.74646777,-73.8761938,Shared room,$28.00 
40.74777361,-73.8796069,Shared room,$27.00 
40.74314981,-73.88067422,Shared room,$35.00 
40.88210553,-73.83624937,Shared room,$30.00 
40.6179032,-74.03282065,Shared room,$40.00 
40.86032417,-73.88493268,Shared room,$130.00 
40.77161634,-73.91936824,Shared room,$30.00 
40.76882858,-73.92410303,Shared room,$55.00 
40.76705051,-73.92101207,Shared room,$65.00 
40.82787549,-73.94834954,Shared room,$65.00 
40.8082686,-73.95328583,Shared room,$49.00 
40.8116027,-73.94309232,Shared room,$75.00 
40.75814762,-73.99374084,Shared room,$130.00 
40.75388833,-73.88576171,Shared room,$50.00 
40.75084418,-73.88087922,Shared room,$40.00 
40.88367911,-73.89750522,Shared room,$70.00 
40.71987068,-73.99728612,Shared room,$58.00 
40.7191286,-73.9967986,Shared room,$165.00 
40.71737736,-73.98333671,Shared room,$75.00 
40.76012646,-73.96565899,Shared room,$99.00 
40.70329677,-73.90811846,Shared room,$30.00 
40.59846126,-73.95485281,Shared room,$35.00 
40.60659587,-73.95947908,Shared room,$36.00 
40.60867048,-73.95833501,Shared room,$30.00 
40.74262404,-73.92542352,Shared room,$85.00 
40.79350754,-73.96979559,Shared room,$70.00 
40.83414256,-73.94023783,Shared room,$32.00 
40.84689148,-73.94298779,Shared room,$33.00 
40.85053986,-73.93515857,Shared room,$38.00 
40.69407287,-73.94551438,Shared room,$200.00 
40.6920109,-73.92902992,Shared room,$50.00 
40.70160691,-73.92919475,Shared room,$50.00 
40.69921698,-73.92697239,Shared room,$40.00 
40.6714051,-73.93023278,Shared room,$40.00 
40.67044195,-73.9429219,Shared room,$70.00 
40.65150656,-73.94956663,Shared room,$22.00 
40.63428902,-73.95871943,Shared room,$42.00 
40.76307397,-73.82569578,Shared room,$30.00 
40.76772821,-73.8284111,Shared room,$30.00 
40.72282286,-73.85570667,Shared room,$42.00 
40.69371217,-73.97076115,Shared room,$135.00 
40.77266352,-73.90267799,Shared room,$100.00 
40.75884935,-73.92184466,Shared room,$38.00 
40.68620031,-73.95364322,Shared room,$20.00 
40.60673853,-73.97076377,Shared room,$39.00 
40.8213978,-73.95675438,Shared room,$80.00 
40.82344909,-73.94203346,Shared room,$30.00 
40.76614879,-73.98408373,Shared room,$250.00 
40.76010615,-73.98915087,Shared room,$49.00 
40.74102851,-73.9821081,Shared room,$118.00 
40.74795779,-73.97949071,Shared room,$103.00 
40.71780126,-73.98503674,Shared room,$110.00 
40.75157085,-73.98529497,Shared room,$55.00 
40.80124338,-73.95979945,Shared room,$49.00 
40.80451991,-73.96516242,Shared room,$300.00 
40.72374392,-73.99468909,Shared room,$49.00 
40.59312407,-73.94224998,Shared room,$50.00 
40.64751516,-74.00590114,Shared room,$65.00 
40.76035258,-73.98025783,Shared room,$75.00 
40.74496167,-73.9093577,Shared room,$64.00 
40.74403962,-73.90688487,Shared room,$39.00 
40.74170523,-73.90589568,Shared room,$35.00 
40.76178223,-73.96713168,Shared room,$230.00 
40.77081717,-73.95563261,Shared room,$80.00 
40.78815313,-73.97369778,Shared room,$150.00 
40.79583895,-73.96380971,Shared room,$35.00 
40.80088932,-73.96751657,Shared room,$85.00 
40.84290498,-73.93839584,Shared room,$49.00 
40.84883333,-73.93219355,Shared room,$70.00 
40.73622081,-74.00147185,Shared room,$105.00 
40.71794769,-73.94929741,Shared room,$65.00 
40.70551221,-73.91924996,Shared room,$70.00 
40.69028552,-73.91898512,Shared room,$75.00 
40.74028577,-73.99805042,Shared room,$250.00 
40.74486731,-74.00277154,Shared room,$75.00 
40.81230768,-73.8553482,Shared room,$35.00 
40.67199878,-73.94246697,Shared room,$50.00 
40.79106406,-73.9505774,Shared room,$47.00 
40.7087323,-74.01333402,Shared room,$88.00 
40.7533435,-73.82883382,Shared room,$288.00 
40.75461018,-73.82004521,Shared room,$35.00 
40.71999269,-73.83920273,Shared room,$55.00 
40.85872807,-73.86996826,Shared room,$35.00 
40.69080575,-73.95626945,Shared room,$35.00 
40.81674439,-73.95291846,Shared room,$65.00 
40.81658001,-73.94350252,Shared room,$75.00 
40.81632886,-73.93741141,Shared room,$66.00 
40.82799563,-73.9368426,Shared room,$50.00 
40.76513464,-73.98655551,Shared room,$49.00 
40.7645477,-73.9912768,Shared room,$30.00 
40.72472998,-73.81308561,Shared room,$80.00 
40.718267,-73.99002137,Shared room,$235.00 
40.72086205,-73.98857143,Shared room,$500.00 
40.71625257,-73.98650536,Shared room,$30.00 
40.71329189,-73.99046902,Shared room,$45.00 
40.73832331,-73.92885843,Shared room,$40.00 
40.76212555,-73.98381115,Shared room,$54.00 
40.76180604,-73.98017196,Shared room,$525.00 
40.77557111,-73.9809948,Shared room,$100.00 
40.85781936,-73.93183347,Shared room,$42.00 
40.71413817,-73.93691553,Shared room,$30.00 
40.6832155,-73.9170239,Shared room,$75.00 
40.58050942,-73.95812551,Shared room,$50.00 
40.66217167,-73.91460263,Shared room,$182.00 
40.70272805,-73.92036249,Shared room,$35.00 
40.70280261,-73.92771356,Shared room,$40.00 
40.75186471,-73.99634731,Shared room,$125.00 
40.67114094,-73.93560803,Shared room,$35.00 
40.79028222,-73.94799738,Shared room,$50.00 
40.80476355,-73.9407439,Shared room,$89.00 
40.79731027,-73.94231358,Shared room,$55.00 
40.72912217,-73.97949957,Shared room,$95.00 
40.72306339,-73.98158745,Shared room,$50.00 
40.73237272,-73.98917998,Shared room,$99.00 
40.64229167,-73.9551817,Shared room,$37.00 
40.64014691,-73.96111769,Shared room,$200.00 
40.76311956,-73.8238743,Shared room,$30.00 
